Group,Size,Avg. Value,Min. Value,Max. Value
DE,4.0,969.0,841.0,1185.0
HI,6.0,991.0,890.0,1082.0
PR,9.0,1033.4444444444443,602.0,1231.0
TX,66.0,1037.4090909090908,743.0,1437.0
MA,62.0,1091.0645161290327,777.0,1497.0
MD,24.0,1064.7916666666667,865.0,1403.0
IA,29.0,1069.8620689655174,845.0,1385.0
ME,12.0,1041.0833333333333,905.0,1427.0
ID,7.0,1048.857142857143,971.0,1115.0
MI,41.0,1068.5121951219514,820.0,1346.0
UT,5.0,1131.4,1066.0,1283.0
MN,33.0,1122.5454545454545,930.0,1406.0
MO,42.0,1069.4761904761901,907.0,1478.0
IL,51.0,1073.470588235294,822.0,1469.0
IN,46.0,1047.5,841.0,1438.0
MS,17.0,982.4705882352941,735.0,1164.0
MT,8.0,1071.5,913.0,1118.0
AK,1.0,951.0,951.0,951.0
AL,29.0,1018.6206896551722,827.0,1217.0
VA,42.0,1048.5,710.0,1377.0
AR,20.0,1054.5000000000002,800.0,1272.0
VI,2.0,752.0,752.0,752.0
NC,52.0,1001.75,762.0,1435.0
ND,7.0,1025.142857142857,946.0,1090.0
NE,18.0,1075.4444444444443,973.0,1198.0
RI,7.0,1150.0,933.0,1419.0
AZ,7.0,1074.0,1024.0,1118.0
NH,10.0,1058.5,921.0,1446.0
NJ,28.0,1039.2857142857142,831.0,1492.0
VT,13.0,1043.4615384615386,860.0,1390.0
NM,16.0,1009.1875,947.0,1206.0
FL,45.0,1058.888888888889,780.0,1331.0
NV,2.0,1034.0,993.0,1075.0
WA,24.0,1109.9583333333333,892.0,1337.0
NY,113.0,1097.7168141592927,836.0,1486.0
SC,33.0,1013.484848484848,807.0,1239.0
SD,11.0,1044.8181818181818,925.0,1192.0
WI,35.0,1060.942857142857,865.0,1269.0
OH,76.0,1088.3684210526317,782.0,1375.0
GA,48.0,1001.8541666666666,655.0,1369.0
OK,22.0,1024.0,854.0,1271.0
CA,90.0,1099.1444444444446,833.0,1520.0
WV,20.0,991.2,869.0,1068.0
WY,1.0,1122.0,1122.0,1122.0
OR,21.0,1074.4761904761904,940.0,1379.0
KS,23.0,1041.4347826086957,984.0,1145.0
CO,15.0,1088.0,951.0,1337.0
KY,27.0,1032.2962962962963,824.0,1278.0
CT,19.0,1117.157894736842,843.0,1488.0
PA,125.0,1069.064,848.0,1439.0
LA,22.0,1023.3636363636364,799.0,1350.0
TN,48.0,1037.729166666667,760.0,1471.0
DC,6.0,1165.8333333333333,849.0,1387.0
